Accession,award.rfa,award.pi.title,,Target label,Target gene,Biosample summary,Biosample,Lab,Project,Species,Biosample type,Date released,Month released,Assay category,Assay Type,Assay name,Assay sub-class
ENCSR934TDK,ENCODE3,Brenton Graveley,,A1CF,A1CF,,,"Chris Burge, MIT",ENCODE,,in vitro sample,8/5/16,"August, 2016",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR090JNM,ENCODE3,Michael Snyder,,HLTF,HLTF,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/1/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,RNA binding protein
ENCSR953TKB,ENCODE3,Richard Myers,,,,C57BL/6 pyramidal neuron adult (8 months),pyramidal neuron,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR011PEI,ENCODE3,Michael Snyder,,eGFP-ZNF175,ZNF175,K562 genetically modified using CRISPR,K562,"Kevin White, UChicago",ENCODE,Homo sapiens,immortalized cell line,6/13/16,"June, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR847UJW,ENCODE3,Bradley Bernstein,,H3K79me2,HIST2H3C,KMS-11,KMS-11,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,11/7/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR295UJP,ENCODE3,Richard Myers,,,,C57BL/6 pyramidal neuron adult (8 months),pyramidal neuron,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR895HSJ,ENCODE3,Michael Snyder,,SMARCA5,SMARCA5,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/27/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR388ZNJ,ENCODE3,Richard Myers,,,,liver female child (4 years) and male adult (32 years),liver,"Barbara Wold, Caltech",ENCODE,Homo sapiens,tissue,10/13/15,"October, 2015",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR846FYI,ENCODE3,Richard Myers,,,,C57BL/6 pyramidal neuron adult (8 months),pyramidal neuron,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR622RJN,ENCODE3,John Stamatoyannopoulos,,,,K562 genetically modified using TALEN,K562,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,8/31/15,"August, 2015",DNA accessibility,genetic modification followed by DNase-seq,genetic modification DNase-seq,genetic modification DNase-seq
ENCSR000AZZ,ENCODE2,Richard Myers,,,,fibroblast of gingiva female adult (24 years),fibroblast of gingiva,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,8/16/11,"August, 2011",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR000BAR,ENCODE2,Richard Myers,,,,cardiac muscle cell,cardiac muscle cell,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,8/16/11,"August, 2011",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR776EAH,ENCODE3,Bradley Bernstein,,H3K4me1,HIST2H3C,gastrocnemius medialis female adult (53 years),gastrocnemius medialis,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,1/27/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR682GOI,ENCODE3,Bradley Bernstein,,H3K9me3,HIST2H3C,sigmoid colon female adult (53 years),sigmoid colon,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,1/27/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR436FYE,ENCODE3,Bing Ren,,H3K4me1,Hist2h3c1,C57BL/6 kidney embryo (15.5 days),kidney,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR037PGI,ENCODE3,John Stamatoyannopoulos,,,,RCC 7860,RCC 7860,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,10/14/15,"October, 2015",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000AEU,ENCODE3,Thomas Gingeras,,,,liver female child (6 years) and male adult (32 years),liver,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,6/30/14,"June, 2014",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR121RSS,ENCODE3,Bradley Bernstein,,H3K4me1,HIST2H3C,esophagus squamous epithelium female adult (53 years),esophagus squamous epithelium,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,1/27/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR740DYF,ENCODE3,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 kidney embryo (15.5 days),kidney,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,11/3/15,"November, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CSJ,ENCODE2,Thomas Gingeras,,,,SK-N-SH,SK-N-SH,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR648YEP,ENCODE3,Richard Myers,,,,C57BL/6 liver embryo (12.5 days),liver,"Barbara Wold, Caltech",ENCODE,Mus musculus,tissue,5/3/16,"May, 2016",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR056QEW,ENCODE3,Brenton Graveley,,CIRBP,CIRBP,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR792CBM,ENCODE3,Brenton Graveley,,G3BP1,G3BP1,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR629EWX,ENCODE3,Brenton Graveley,,IGF2BP1,IGF2BP1,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000EPJ,ENCODE2,John Stamatoyannopoulos,,,,MCF-7,MCF-7,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,5/4/11,"May, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000AWZ,ENCODE2,Thomas Gingeras,,,,HepG2 nucleolus fraction,HepG2,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,10/2/09,"October, 2009",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000EPF,ENCODE2,John Stamatoyannopoulos,,,,LNCaP clone FGC,LNCaP clone FGC,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,5/4/11,"May, 2011",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR689QUB,ENCODE3,Bradley Bernstein,,H3K4me1,HIST2H3C,hepatocyte originated from H9,hepatocyte,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,in vitro differentiated cells,4/27/16,"April, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000DOC,ENCODE2,Michael Snyder,,BRF2,BRF2,K562,K562,"Kevin Struhl, HMS",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR886DWH,ENCODE3,Bing Ren,,H3K4me2,Hist2h3c1,C57BL/6 embryonic facial prominence embryo (14.5 days),embryonic facial prominence,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR345RKE,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 heart embryo (14.5 days),heart,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR014TEJ,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 forebrain embryo (16.5 days),forebrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,12/17/14,"December, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CJC,ENCODE2,Thomas Gingeras,,,,H1-hESC cytosolic fraction,H1-hESC,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,stem cell,3/23/11,"March, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR000CQQ,ENCODE2,Thomas Gingeras,,,,H1-hESC cytosolic fraction,H1-hESC,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,stem cell,10/17/11,"October, 2011",Transcription,RNA-seq,polyA depleted RNA-seq,polyA depleted RNA-seq
ENCSR434MWV,ENCODE3,Michael Snyder,,POLR2A,POLR2A,stomach female adult (53 years),stomach,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,7/6/16,"July, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR431EHE,ENCODE3,Michael Snyder,,POLR2A,POLR2A,sigmoid colon male adult (37 years),sigmoid colon,"Michael Snyder, Stanford",ENCODE,Homo sapiens,tissue,10/25/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR656AMS,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 liver postnatal (0 days),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR871CGP,ENCODE3,Bing Ren,,H3K36me3,Hist2h3c1,C57BL/6 limb embryo (14.5 days),limb,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR569UCG,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 kidney embryo (14.5 days),kidney,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CFN,ENCODE2-Mouse,Bing Ren,,H3K27me3,Hist2h3c1,C57BL/6 ES-Bruce4,ES-Bruce4,"Bing Ren, UCSD",ENCODE,Mus musculus,stem cell,9/5/12,"September, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR117WLY,ENCODE3,Brenton Graveley,,EFTUD2,EFTUD2,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,12/17/14,"December, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR258UUX,ENCODE3,Bradley Bernstein,,H3K4me3,HIST2H3C,vagina female adult (53 years),vagina,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,11/2/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000CXZ,ENCODE2,John Stamatoyannopoulos,,,,foreskin fibroblast male newborn,foreskin fibroblast,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,10/10/11,"October, 2011",3D chromatin structure,5C,5C,5C
ENCSR000DEK,ENCODE2,Richard Myers,,,,pancreas male adult (71 year),pancreas,"Richard Myers, HAIB",ENCODE,Homo sapiens,tissue,9/30/11,"September, 2011",DNA methylation,RRBS,RRBS,RRBS
ENCSR190RKJ,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 hindbrain embryo (13.5 days),hindbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR913MGR,ENCODE3,Bradley Bernstein,,H3K4me1,HIST2H3C,PC-9,PC-9,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,5/6/16,"May, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR700FCF,ENCODE3,Bing Ren,,,,C57BL/6 limb embryo (13.5 days),limb,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,8/18/15,"August, 2015",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR835BZO,ENCODE3,Bing Ren,,H3K4me3,Hist2h3c1,C57BL/6 forebrain embryo (13.5 days),forebrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR180AAB,ENCODE3,Bradley Bernstein,,H3F3A,H3F3A,PC-9,PC-9,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,1/18/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR323FHJ,ENCODE3,Richard Myers,,,,C57BL/6 pyramidal neuron adult (8 months),pyramidal neuron,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000AQK,ENCODE2,Bradley Bernstein,,CHD1,CHD1,H1-hESC,H1-hESC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,stem cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR224KSF,ENCODE3,Brenton Graveley,,RBMS3,RBMS3,,,"Chris Burge, MIT",ENCODE,,in vitro sample,8/5/16,"August, 2016",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR957KYB,ENCODE3,Michael Snyder,,BHLHE40,BHLHE40,IMR-90 female embryo (16 weeks),IMR-90,"Michael Snyder, Stanford",ENCODE,Homo sapiens,primary cell,9/1/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR315VQD,ENCODE3,Brenton Graveley,,ZFP36,ZFP36,,,"Chris Burge, MIT",ENCODE,,in vitro sample,8/5/16,"August, 2016",RNA binding,RNA Bind-n-Seq,RNA Bind-n-Seq,RNA binding protein
ENCSR977CEC,ENCODE3,Bradley Bernstein,,H3K27me3,HIST2H3C,body of pancreas male adult (37 years),body of pancreas,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,tissue,10/24/16,"October, 2016",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000BMJ,ENCODE2,Richard Myers,,BCL11A,BCL11A,H1-hESC,H1-hESC,"Richard Myers, HAIB",ENCODE,Homo sapiens,stem cell,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000AMY,ENCODE2,Bradley Bernstein,,H4K20me1,HIST2H4A,fibroblast of lung female child (11 year) and male adult (45 years),fibroblast of lung,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR298YHA,ENCODE3,Richard Myers,,,,C57BL/6 pyramidal neuron adult (8 months),pyramidal neuron,"Barbara Wold, Caltech",ENCODE,Mus musculus,primary cell,10/13/15,"October, 2015",Transcription,RNA-seq,single cell RNA-seq,single cell RNA-seq
ENCSR000BNP,ENCODE2,Richard Myers,,YY1,YY1,GM12878,GM12878,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,7/18/11,"July, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000AEX,ENCODE3,Thomas Gingeras,,,,diencephalon female embryo (20 weeks) and male embryo (22 weeks),diencephalon,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,tissue,6/30/14,"June, 2014",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR000BAT,ENCODE2,Richard Myers,,,,epithelial cell of esophagus,epithelial cell of esophagus,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,8/16/11,"August, 2011",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR000BAH,ENCODE2,Richard Myers,,,,CMK,CMK,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,8/16/11,"August, 2011",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR000BBF,ENCODE2,Richard Myers,,,,epidermal melanocyte,epidermal melanocyte,"Richard Myers, HAIB",ENCODE,Homo sapiens,primary cell,8/16/11,"August, 2011",Genotyping,comparative genomic hybridization by array,genotyping array,genotyping array
ENCSR808FBR,ENCODE3,Brenton Graveley,,DDX5,DDX5,HepG2 genetically modified using RNAi,HepG2,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,6/13/16,"June, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000DEY,ENCODE2,Richard Myers,,,,GM12878,GM12878,"Richard Myers, HAIB",ENCODE,Homo sapiens,immortalized cell line,9/30/11,"September, 2011",DNA methylation,RRBS,RRBS,RRBS
ENCSR121ZSL,ENCODE3,John Stamatoyannopoulos,,,,trophoblast cell embryo (21 week),trophoblast cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,5/9/16,"May, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000EDV,ENCODE2,Michael Snyder,,EP300,EP300,HepG2,HepG2,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR809LCE,ENCODE3,John Stamatoyannopoulos,,,,trophoblast cell embryo (23 weeks),trophoblast cell,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,primary cell,5/9/16,"May, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR513SKK,ENCODE3,Bradley Bernstein,,STAG2,STAG2,K562,K562,"John Rinn, Broad",ENCODE,Homo sapiens,immortalized cell line,5/4/16,"May, 2016",RNA binding,RIP-seq,RIP-seq,RNA binding protein
ENCSR000EHK,ENCODE2,Michael Snyder,,STAT1,STAT1,K562 treated with interferon gamma,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CKR,ENCODE2,Thomas Gingeras,,,,IMR-90 cytosolic fraction female embryo (16 weeks),IMR-90,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,primary cell,5/2/12,"May, 2012",Transcription,RNA-seq,CAGE,CAGE
ENCSR000ALO,ENCODE2,Bradley Bernstein,,H3K4me3,HIST2H3C,keratinocyte female,keratinocyte,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,2/10/11,"February, 2011",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000BER,ENCODE2,Gregory Crawford,,,,hepatocyte,hepatocyte,"Gregory Crawford, Duke",ENCODE,Homo sapiens,primary cell,6/14/11,"June, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000BEO,ENCODE2,Gregory Crawford,,,,skeletal muscle myoblast,skeletal muscle myoblast,"Gregory Crawford, Duke",ENCODE,Homo sapiens,primary cell,6/14/11,"June, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000CRL,ENCODE2,Thomas Gingeras,,,,H1-hESC nuclear fraction,H1-hESC,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,stem cell,2/22/12,"February, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR000ARQ,ENCODE2,Bradley Bernstein,,H3K9me3,HIST2H3C,fibroblast of lung female child (11 year) and male adult (45 years),fibroblast of lung,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,primary cell,3/6/12,"March, 2012",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EPZ,ENCODE2,John Stamatoyannopoulos,,,,SK-N-SH treated with all-trans-retinoic acid,SK-N-SH,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,12/14/10,"December, 2010",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR000EGI,ENCODE2,Michael Snyder,,MAFF,MAFF,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,5/14/12,"May, 2012",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CIR,ENCODE2,Thomas Gingeras,,,,GM12878 cytosolic fraction,GM12878,"Piero Carninci, RIKEN",ENCODE,Homo sapiens,immortalized cell line,12/22/11,"December, 2011",Transcription,RNA-seq,CAGE,CAGE
ENCSR749BWV,ENCODE3,John Stamatoyannopoulos,,,,heart female embryo (116 days) and female embryo (98 days),heart,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,tissue,5/9/16,"May, 2016",DNA accessibility,DNase-seq,DNase-seq,DNase-seq
ENCSR835TCD,ENCODE3,Michael Snyder,,eGFP-HDAC8,HDAC8,K562 genetically modified using stable transfection,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,2/16/16,"February, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR527IGO,ENCODE3,John Stamatoyannopoulos,,,,K562 genetically modified using TALEN,K562,"John Stamatoyannopoulos, UW",ENCODE,Homo sapiens,immortalized cell line,7/14/16,"July, 2016",DNA accessibility,genetic modification followed by DNase-seq,genetic modification DNase-seq,genetic modification DNase-seq
ENCSR898WIS,ENCODE3,Bing Ren,,H3K9ac,,C57BL/6 liver embryo (14.5 days),liver,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/30/14,"June, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR192GBD,ENCODE3,Brenton Graveley,,PABPC1,PABPC1,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,1/12/16,"January, 2016",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000CRI,ENCODE2,Thomas Gingeras,,,,fibroblast of lung male embryo (12 weeks),fibroblast of lung,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,primary cell,2/22/12,"February, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR000BFD,ENCODE2,Gregory Crawford,,,,H7-hESC,H7-hESC,"Gregory Crawford, Duke",ENCODE,Homo sapiens,stem cell,4/4/12,"April, 2012",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR489OCU,ENCODE3,John Stamatoyannopoulos,,,,NCI-H460,NCI-H460,"Job Dekker, UMass",ENCODE,Homo sapiens,immortalized cell line,5/13/16,"May, 2016",3D chromatin structure,HiC,Hi-C,Hi-C
ENCSR000AYL,ENCODE2,Scott Tenenbaum,,SLBP,SLBP,K562,K562,"Scott Tenenbaum, SUNY-Albany",ENCODE,Homo sapiens,immortalized cell line,4/28/11,"April, 2011",RNA binding,RIP-chip,RIP-chip,RNA binding protein
ENCSR639DND,ENCODE3,Bing Ren,,H3K27ac,Hist2h3c1,C57BL/6 intestine embryo (16.5 days),intestine,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,12/17/14,"December, 2014",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR315ZEU,ENCODE3,Bing Ren,,H3K4me3,Hist2h3c1,C57BL/6 hindbrain embryo (13.5 days),hindbrain,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,6/23/15,"June, 2015",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EEE,ENCODE2,Michael Snyder,,CEBPB,CEBPB,HepG2,HepG2,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CHJ,ENCODE2-Mouse,Bing Ren,,,,C57BL/6 limb embryo (14.5 days),limb,"Bing Ren, UCSD",ENCODE,Mus musculus,tissue,5/4/12,"May, 2012",Transcription,RNA-seq,polyA mRNA RNA-seq,polyA mRNA RNA-seq
ENCSR149GUT,ENCODE3,Bing Ren,,,,C57BL/6 heart embryo (13.5 days),heart,"Joe Ecker, Salk",ENCODE,Mus musculus,tissue,8/18/15,"August, 2015",DNA methylation,whole-genome shotgun bisulfite sequencing,WGBS,WGBS
ENCSR679CHH,ENCODE3,Bradley Bernstein,,H3K9me3,HIST2H3C,SK-N-MC,SK-N-MC,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,1/5/17,"January, 2017",DNA binding,ChIP-seq,ChIP-seq,Histone ChIP-seq
ENCSR000EZV,ENCODE2,Michael Snyder,,MYC,MYC,K562 treated with interferon alpha,K562,"Sherman Weissman, Yale",ENCODE,Homo sapiens,immortalized cell line,10/29/11,"October, 2011",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR000CSW,ENCODE2,Thomas Gingeras,,,,MCF-7,MCF-7,"Thomas Gingeras, CSHL",ENCODE,Homo sapiens,immortalized cell line,7/9/12,"July, 2012",Transcription,RNA-seq,small RNA-seq,small RNA-seq
ENCSR549NPZ,ENCODE3,Bradley Bernstein,,CBX3,CBX3,GM12878,GM12878,"Bradley Bernstein, Broad",ENCODE,Homo sapiens,immortalized cell line,11/23/16,"November, 2016",DNA binding,ChIP-seq,ChIP-seq,TF ChIP-seq
ENCSR696YIB,ENCODE3,Brenton Graveley,,,,K562 insoluble cytoplasmic fraction,K562,"Eric Lécuyer, IRCM",ENCODE,Homo sapiens,immortalized cell line,4/21/16,"April, 2016",Transcription,RNA-seq,total RNA-seq,total RNA-seq
ENCSR000BCK,ENCODE2,Thomas Gingeras,,,,K562 nuclear fraction,K562,"Yijun Ruan, JAX",ENCODE,Homo sapiens,immortalized cell line,10/17/11,"October, 2011",Transcription,RNA-PET,RNA-PET,RNA-PET
ENCSR246SOU,ENCODE3,Brenton Graveley,,G3BP2,G3BP2,K562 genetically modified using RNAi,K562,"Brenton Graveley, UConn",ENCODE,Homo sapiens,immortalized cell line,10/16/14,"October, 2014",Transcription,Knockdown RNAseq,shRNA RNA-seq,RNA binding protein
ENCSR000BEC,ENCODE2,Gregory Crawford,,,,keratinocyte female,keratinocyte,"Gregory Crawford, Duke",ENCODE,Homo sapiens,primary cell,6/14/11,"June, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR000BEA,ENCODE2,Gregory Crawford,,,,MCF-7,MCF-7,"Gregory Crawford, Duke",ENCODE,Homo sapiens,immortalized cell line,6/14/11,"June, 2011",Transcription,transcription profiling by array assay,RNA microarray,RNA microarray
ENCSR626QJQ,ENCODE3,Michael Snyder,,CSDE1,CSDE1,K562,K562,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,9/1/16,"September, 2016",DNA binding,ChIP-seq,ChIP-seq,RNA binding protein
ENCSR465NNU,ENCODE3,Michael Snyder,,RAD21,RAD21,Jurkat clone E61,Jurkat clone E61,"Michael Snyder, Stanford",ENCODE,Homo sapiens,immortalized cell line,10/25/16,"October, 2016",3D chromatin structure,ChIA-PET,ChIA-PET,ChIA-PET
